ID,Chunk présent,Explication présente,Exemple présent,YAML présent
regle_p227_29c3e372,True,True,False,False
regle_p227_4fd9eb0d,True,True,False,False
regle_p227_72d7940b,True,True,False,False
regle_p227_8887c0a9,True,True,False,False
regle_p227_8c96e0a1,True,True,False,False
regle_p228_82e80cdd,True,True,False,False
regle_p228_b32296fb,True,True,False,False
regle_p228_c10c76a7,True,True,False,False
regle_p228_dd7960e3,True,True,False,False
regle_p228_f61a0205,True,True,False,False
regle_p229_1cdeaa60,True,True,False,False
regle_p229_37efdddc,True,True,False,False
regle_p229_45825886,True,True,False,False
regle_p229_7d2ff2aa,True,True,False,False
regle_p229_7d44f080,True,True,False,False
regle_p229_7f066a11,True,True,False,False
regle_p229_90aa88bd,True,True,False,False
regle_p229_b0028bd6,True,True,False,False
regle_p229_e07acb0a,True,True,False,False
regle_p229_f3d1b243,True,True,False,False
regle_p230_b8fc5806,True,True,False,False
regle_p232_188a707c,True,True,False,False
regle_p232_2cc96204,True,True,False,False
regle_p233_16148db9,True,True,False,False
regle_p233_3b25f1ab,True,True,False,False
regle_p233_8309d846,True,True,False,False
regle_p233_cd2af10c,True,True,False,False
regle_p235_50dfa536,True,True,False,False
regle_p235_50e2b7f6,True,True,False,False
regle_p235_a2e23cde,True,True,False,False
regle_p235_b8766535,True,True,False,False
regle_p236_145f06ea,True,True,False,False
regle_p236_2fdf70ef,True,True,False,False
regle_p236_61a8698e,True,True,False,False
regle_p236_f025fb5f,True,True,False,False
regle_p236_f5e367fb,True,True,False,False
regle_p237_6c6d7ba3,True,True,False,False
regle_p237_daa542c2,True,True,False,False
regle_p238_0eee2db9,True,True,False,False
regle_p238_17bd37cc,True,True,False,False
regle_p238_1d7d8285,True,True,False,False
regle_p238_ad2f4c15,True,True,False,False
regle_p238_da91060d,True,True,False,False
regle_p239_0725fa58,True,True,False,False
regle_p239_4bdfa308,True,True,False,False
regle_p239_a6f465b2,True,True,False,False
regle_p239_e1202499,True,True,False,False
regle_p239_ff46fe38,True,True,False,False
regle_p240_31dd0998,True,True,False,False
regle_p240_75481402,True,True,False,False
regle_p240_9699f3bc,True,True,False,False
regle_p240_a2f1b53d,True,True,False,False
